ds,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,newsletter,type,solID
2015-11-23,167687.6,0,95463.6666666667,72903852.7125913,0,19401.6538461538,rawMedia,2_264_1
2015-11-30,214600.9,0,0,16581099.5453259,29511.7154573556,14791,rawMedia,2_264_1
2015-12-07,0,248022,3404,49954773.6704713,36132.358958479,14544,rawMedia,2_264_1
2015-12-14,625877.3,0,132600,31649297.028794,36804.2109583039,2800,rawMedia,2_264_1
2015-12-21,0,520005,0,8802269.47875135,28401.7440689961,15478,rawMedia,2_264_1
2015-12-28,249189.8,0,239417.333333333,49902081.1072813,38061.7759105633,13817,rawMedia,2_264_1
2016-01-04,5152.9,425163,0,41147695.8176496,36289.5137845771,28817,rawMedia,2_264_1
2016-01-11,22141.7,0,176859.666666667,56554690.6011959,34765.1089945226,19082,rawMedia,2_264_1
2016-01-18,0,0,0,35730563.6390355,28023.4815016389,19679,rawMedia,2_264_1
2016-01-25,0,0,84329.3333333333,31861260.5535892,21069.7392458096,15095,rawMedia,2_264_1
2016-02-01,123838.7,79645,0,0,28023.9772998262,9795,rawMedia,2_264_1
2016-02-08,0,0,35726.6666666667,34249657.5537999,21323.3319736086,10876,rawMedia,2_264_1
2016-02-15,497073.3,0,18363,15189759.0246453,0,19401.6538461538,rawMedia,2_264_1
2016-02-22,0,0,0,0,0,19401.6538461538,rawMedia,2_264_1
2016-02-29,311672.2,0,0,32458460.7268688,16067.6701187622,583,rawMedia,2_264_1
2016-03-07,0,0,123795.666666667,0,28877.3841721821,8224,rawMedia,2_264_1
2016-03-14,148293.3,82489,0,0,17065.2347626397,5311,rawMedia,2_264_1
2016-03-21,0,0,0,0,21110.4573525488,7428,rawMedia,2_264_1
2016-03-28,0,123916,101845.666666667,80241679.4620443,18271.1453880183,10025,rawMedia,2_264_1
2016-04-04,0,0,0,3439178.32292279,13909.6565939253,9460,rawMedia,2_264_1
2016-04-11,0,124526,0,0,13329.7718956368,2964,rawMedia,2_264_1
2016-04-18,83450.5,0,0,28249364.1045741,17090.7233280363,11663,rawMedia,2_264_1
2016-04-25,0,0,0,0,12314.6742164972,6317,rawMedia,2_264_1
2016-05-02,0,0,93889.3333333333,0,11055.0434847595,5408,rawMedia,2_264_1
2016-05-09,0,93671,0,0,13268.1427125586,1900,rawMedia,2_264_1
2016-05-16,0,0,0,50755966.7683567,0,19401.6538461538,rawMedia,2_264_1
2016-05-23,0,233330,0,0,0,19401.6538461538,rawMedia,2_264_1
2016-05-30,0,0,0,0,13697.3625576124,9003,rawMedia,2_264_1
2016-06-06,0,0,0,0,9330.99615876563,4305,rawMedia,2_264_1
2016-06-13,0,0,0,0,14439.943109639,7217,rawMedia,2_264_1
2016-06-20,153542.9,232328,0,33454960.6557654,13426.1853670003,1983,rawMedia,2_264_1
2016-06-27,0,0,0,0,11025.0915131764,3437,rawMedia,2_264_1
2016-07-04,75907.6,0,38763,0,13000.9753927588,4147,rawMedia,2_264_1
2016-07-11,0,0,0,0,17558.7421924574,8479,rawMedia,2_264_1
2016-07-18,14253.1,599331,35855,33729872.8687114,12646.6102778097,6348,rawMedia,2_264_1
2016-07-25,0,0,0,0,18869.8338730028,13762,rawMedia,2_264_1
2016-08-01,211351.9,307907,0,53605561.3881105,20555.155102862,11841,rawMedia,2_264_1
2016-08-08,0,0,6058.33333333333,0,21913.056334795,17162,rawMedia,2_264_1
2016-08-15,214730.1,0,0,15373941.6231327,0,19401.6538461538,rawMedia,2_264_1
2016-08-22,0,0,104848,11664166.5346404,0,19401.6538461538,rawMedia,2_264_1
2016-08-29,179933.7,299336,0,0,27453.5393575206,2453,rawMedia,2_264_1
2016-09-05,159463.8,164644,23110.3333333333,3879870.3646725,21811.126985494,3186,rawMedia,2_264_1
2016-09-12,0,300217,0,0,30396.4989346336,11247,rawMedia,2_264_1
2016-09-19,0,61302,191524.666666667,54564098.3619797,31697.6806069724,15280,rawMedia,2_264_1
2016-09-26,0,304454,0,0,22420.1181496028,2886,rawMedia,2_264_1
2016-10-03,1084024.8,228506,73598.6666666667,42679536.9426691,28940.1273785625,14067,rawMedia,2_264_1
2016-10-10,0,0,80428.3333333333,46050657.171974,37640.4867839068,24098,rawMedia,2_264_1
2016-10-17,610420.1,55867,0,61417892.420928,36705.0621011294,26550,rawMedia,2_264_1
2016-10-24,0,297961,70207.3333333333,63942540.2611415,31599.3953431025,17728,rawMedia,2_264_1
2016-10-31,704960.9,0,0,71765591.9360446,34659.9239814561,13989,rawMedia,2_264_1
2016-11-07,0,267379,86578.6666666667,64033311.3669239,42223.9926952869,29426,rawMedia,2_264_1
2016-11-14,392432.9,0,0,52199572.1605198,0,19401.6538461538,rawMedia,2_264_1
2016-11-21,52177.9,271909,54698,80485549.8926248,0,19401.6538461538,rawMedia,2_264_1
2016-11-28,0,0,31072,53736753.4976524,73955.9563237708,27941,rawMedia,2_264_1
2016-12-05,106908,448276,0,21469926.0322354,65123.9879303263,51273,rawMedia,2_264_1
2016-12-12,0,0,0,29472934.6021818,52768.8606138225,19606,rawMedia,2_264_1
2016-12-19,0,627975,0,14122124.6898919,47686.7842705688,4453,rawMedia,2_264_1
2016-12-26,807907.6,0,0,68537049.499028,77849.5859956718,559,rawMedia,2_264_1
2017-01-02,307907.6,850680,209986,58171140.2101937,58179.8415290192,46507,rawMedia,2_264_1
2017-01-09,0,0,0,58671678.0297663,63213.96521274,21771,rawMedia,2_264_1
2017-01-16,44349.7,0,11517.3333333333,56039474.6180184,61912.6340950141,35351,rawMedia,2_264_1
2017-01-23,0,0,80857.3333333333,86758062.4439567,61384.3735386268,13998,rawMedia,2_264_1
2017-01-30,301837.2,0,0,60054669.933808,68123.1128736865,27415,rawMedia,2_264_1
2017-02-06,0,0,0,0,44602.7678886778,4085,rawMedia,2_264_1
2017-02-13,0,239482,0,88205178.523459,0,19401.6538461538,rawMedia,2_264_1
2017-02-20,0,0,80182.6666666667,0,0,19401.6538461538,rawMedia,2_264_1
2017-02-27,0,0,0,142691898.236843,37539.2049168586,26556,rawMedia,2_264_1
2017-03-06,0,0,105208.333333333,0,46462.9932110896,12272,rawMedia,2_264_1
