ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,newsletter,intercept,depVarHat,solID
2016-11-21,2964696.66666667,640450.338007254,412165.727806997,0,1357252.85212358,0,130449.865628962,120822.734369277,46632.6643797907,59712.9865085519,121.981405715648,55464.4168216382,0,2823073.56705176,1_216_2
2016-11-28,2848525,640653.779670383,334622.218607157,0,1403056.05129054,0,34755.009438412,84680.3781057757,19985.4272647143,55824.5052473667,41495.7678415954,82818.7466089204,0,2697891.88407486,1_216_2
2016-12-05,2740160,640857.221319797,261523.489486122,0,1237759.46840501,0,77283.8794359838,138264.443926904,123.707820043982,44343.058178135,40665.4015084662,178314.441717109,0,2619135.11179757,1_216_2
2016-12-12,2380508.33333333,641060.66296921,244603.818747436,0,1188162.04589844,0,18358.6914247428,101233.902763845,0.701774132271324,43072.5313289071,35493.0828098718,101147.300326914,0,2373132.7380435,1_216_2
2016-12-19,2230915,641264.104618624,276919.462853497,-317107.34935535,1071353.41865989,0,3893.40158342729,151676.504900339,0.00397899084939361,34365.5479654704,32622.8708309273,24505.4909038278,0,1919493.45693965,1_216_2
2016-12-26,3659425,641467.546268038,303215.85639845,1017272.0262774,1161979.16914232,0,332723.266640204,115004.736514084,2.25604236625758e-05,54084.3547829214,44540.6410451724,3421.29747323832,0,3673708.89456439,1_216_2
2017-01-02,2827008.33333333,641670.987917452,278404.694525494,0,1127103.18889206,0,285017.226061839,162963.590536455,211783.14928244,55048.7542850421,38223.5408229517,117679.556855722,0,2917894.68917946,1_216_2
2017-01-09,2042143.33333333,641874.429566865,209077.303892297,0,1024465.25379825,0,117437.229803702,127376.442738036,10940.8093782964,55432.4953032875,39633.2340108849,84594.7528468174,0,2310831.95133843,1_216_2
2017-01-16,2113358.33333333,642077.156698999,137775.949853287,0,1007254.61343942,0,60846.2694725938,90731.5917575324,1917.21521816266,54933.3814046144,39242.5941093275,122512.814014694,0,2157291.58596863,1_216_2
2017-01-23,2179918.33333333,642279.883831134,95755.7677207877,0,1051900.69624207,0,13985.3242661426,59221.2437042693,97177.5647709556,60816.4525478407,38995.7588426878,58825.210621508,0,2118957.90254739,1_216_2
2017-01-30,2370613.33333333,642482.610963268,78432.9018735114,0,1066826.41508178,0,189756.099044536,36059.6639315996,931.495563531584,57562.0314040955,41573.4903792785,82324.0830670561,0,2195948.79130866,1_216_2
2017-02-06,1814556.66666667,642685.338095402,62254.0050922974,0,909200.650889951,0,58486.0278802936,20924.2887416174,5.3022348753871,34420.1242660396,31780.1907391041,19260.2446119826,0,1779016.17255156,1_216_2
2017-02-13,1951668.33333333,642888.065227536,33243.6827333925,0,945534.675922482,0,13380.5374031772,109595.888147614,0.0300637357264586,58360.8881226011,2546.7723747544,37415.1420143834,0,1842965.68200968,1_216_2
2017-02-20,1918238.33333333,643090.792359671,-6144.95096374347,0,922572.424682336,0,2812.18622737144,74754.1392828728,91490.7004128821,35182.0157857516,140.533911318923,45817.3908873505,0,1809715.23258581,1_216_2
2017-02-27,1472390,643293.519491805,-49612.8725829238,0,721815.741750266,0,579.981846362717,47075.1900014426,842.918370785378,66282.349532546,24466.9299122006,73562.8080438923,0,1528306.56636638,1_216_2
2017-03-06,1477865,643496.239328678,-94370.8020989794,0,704783.674298799,0,119.144044982051,27941.0509843453,136965.009720149,43467.5497495834,31070.0307827926,37385.3569880559,0,1530857.25379841,1_216_2
2017-03-13,1300166.66666667,643698.959165552,-135358.409630252,0,619190.733651424,0,41430.0683956202,15950.4395174151,1830.43813985093,22749.728436574,28939.27592322,67668.9092860313,0,1306100.14288544,1_216_2
2017-03-20,1160205,643901.679002425,-163207.92312495,0,543891.739480784,0,9171.33128882915,8892.53291532901,184165.525613947,10061.6322532434,22303.3716858966,68940.6654162974,0,1328120.5545318,1_216_2
2017-03-27,1356871.66666667,644104.398839298,-176577.319052568,0,672931.70898975,0,1913.01474367176,52638.4037894961,4623.49734278614,37861.1796744633,30623.2494273486,82792.7568792911,0,1350910.89063354,1_216_2
2017-04-03,1355833.33333333,644307.118676172,-191988.463959712,0,679928.219550124,0,393.910946675091,31608.1688034643,26.7342885522345,18878.7480786089,23770.4679190673,13809.3469495624,0,1220734.25125251,1_216_2
2017-04-10,1176266.66666667,644509.838513045,-229728.188906154,24652.3144636965,557837.411724582,0,80.8934866462437,162402.569322289,0.151597396611725,8114.66121451849,19091.0260397154,2330.1791264698,0,1189290.85658221,1_216_2
2017-04-17,1955281.66666667,644712.558349918,-285955.598332656,967472.951551811,459642.60505542,0,26968.5011118174,126743.502861961,0.000859540457723564,3234.83106193423,19787.5076736078,10330.3681629972,0,1972937.22835635,1_216_2
2017-04-24,1029928.33333333,644910.847962895,-327376.667291216,0,497440.386798236,0,5810.36294441246,151511.650390854,4.87349616047596e-06,1248.46412180345,19146.473823915,28236.8752378283,0,1020928.3939936,1_216_2
2017-05-01,2263143.33333333,645109.137575871,-323927.376095269,355829.704025197,424916.788386346,0,172907.015102329,114829.527023897,2.76321661504424e-08,475.670729149116,16511.624699251,10775.3476633998,0,1417427.4391102,1_216_2
2017-05-08,813771.666666667,645307.427188847,-286296.697301148,0,391541.842692351,0,51019.1483476773,150491.907964083,1.56671223492978e-10,180.334879623192,13801.2913838764,10339.2773437859,0,976384.532499096,1_216_2
2017-05-15,880871.666666667,645505.716801823,-261302.310900386,0,441997.407225923,0,11503.6102963141,113749.126489287,8.88307928417366e-13,68.2388199646326,865.315255960899,32167.0528935926,0,984554.156882479,1_216_2
2017-05-22,919185,645704.0064148,-283881.479999638,-58752.0955196163,454696.826965617,0,2409.55576938139,98509.6814507906,5.03660441334664e-15,44633.4940972945,46.908883215362,43562.3039215032,0,946929.201983347,1_216_2
2017-05-29,826321.666666667,645902.296027776,-338197.393515962,0,403000.721855953,0,496.589963451198,65460.6802556683,41659.8097300426,23603.5240915042,12310.0215618397,13904.7396380543,0,868140.989608327,1_216_2
2017-06-05,833798.333333333,646094.817398584,-374034.446124577,319803.562361056,392277.929836556,0,35611.4578427334,78938.5293467181,286.352483122247,42940.421960214,13579.7264959685,2978.92533437794,0,1158477.27693475,1_216_2
2017-06-12,746271.666666667,646287.338769391,-361040.940164151,0,373842.531860626,0,7797.08542862212,50172.7498352538,1.62554252066518,22369.481539455,15930.591720745,2608.60953787055,0,757969.074070333,1_216_2
2017-06-19,1036406.66666667,646479.860140199,-318069.181607553,0,473371.975604199,0,172200.018401639,29972.3561521787,0.00921670325812637,15455.0687759953,19211.3670155105,2753.79253851565,0,1041375.26623739,1_216_2
2017-06-26,927931.666666667,646672.381511007,-284570.981191822,0,445390.89372124,0,50719.7374126991,118542.173834106,14750.7282611809,6481.75558448292,15590.2721670442,601.447702013825,0,1014178.40900195,1_216_2
2017-07-03,1126943.33333333,646864.902881815,-271004.239442973,0,523864.216728171,0,32081.9209136043,82620.0326650454,85305.7226620238,53960.7804408626,25877.2645597696,7062.48392348304,0,1186633.0853318,1_216_2
